kabupaten,bulan,tahun,alokasi_urea,distribusi_urea,alokasi_organik,distribusi_organik,alokasi_za,distribusi_za,alokasi_NPK,distribusi_NPK,curah_hujan,suhu,luas_panen_padi,produksi_padi_ton,luas_panen_jagung,produksi_jagung_ton,luas_panen_kedelai,produksi_kedelai_ton
Bangkalan,Februari,2024,13401,1198.2,0,0.0,0.0,0.0,9490,758.2,11.17,27.13,7480,39045,2680,15519,"10,27","17,67"
Bangkalan,Maret,2024,13401,2055.9,0,0.0,0.0,0.0,9490,1383.0,9.6,27.27,9180,47827,2111,12096,"15,72","27,52"
Bangkalan,April,2024,22897,3058.7,0,0.0,0.0,0.0,20287,2069.0,11.67,27.55,9180,47736,1468,8354,"26,18","45,83"
Bangkalan,Mei,2024,22897,4620.6,0,0.0,0.0,0.0,20287,3218.1,1.17,28.71,5780,29998,1683,9711,"55,52","97,20"
Bangkalan,Juni,2024,22897,5643.6,0,0.0,0.0,0.0,20287,4179.3,2.19,27.88,5780,29940,2350,13233,"96,62","169,17"
Bangkalan,Juli,2024,22897,6111.6,0,0.0,0.0,0.0,20287,4700.6,0.67,27.52,5780,29882,1800,10423,"137,35","250,10"
Bangkalan,Agustus,2024,22897,6533.4,0,0.0,0.0,0.0,20287,5077.2,0.25,27.89,5780,29824,1567,8840,"169,16","308,01"
Bangkalan,September,2024,22897,7363.0,0,0.0,0.0,0.0,20287,5669.1,1.7,28.73,9180,47277,1805,10378,"240,15","437,28"
Bangkalan,Oktober,2024,22897,9509.0,0,0.0,0.0,0.0,20287,6971.8,1.49,29.3,9180,47185,1507,8437,"155,64","283,40"
Bangkalan,November,2024,22897,13864.5,0,0.0,0.0,0.0,20287,8962.1,11.09,27.54,7480,38372,1303,7363,"51,68","90,48"
Bangkalan,Desember,2024,22897,17570.9,0,0.0,0.0,0.0,20287,10657.7,14.39,26.84,7480,38297,1234,7083,"5,08","8,74"
Bangkalan,Januari,2025,21783,339.4,0,0.0,0.0,0.0,19103,174.2,11.73,26.36,7591,39852,1707,9765,"6,91","11,68"
Bangkalan,Februari,2025,21783,684.5,0,0.0,0.0,0.0,19103,391.8,7.79,26.6,7591,39776,2836,16422,"7,20","12,17"
Bangkalan,Maret,2025,21783,1683.7,0,0.0,0.0,0.0,19103,912.9,9.35,26.95,9316,48722,2335,13379,"10,85","18,67"
Bangkalan,April,2025,21783,2949.2,476,0.0,0.0,0.0,19103,1839.6,6.27,27.02,9316,48629,1529,8699,"17,90","30,80"
Bangkalan,Mei,2025,21783,3759.4,476,0.0,0.0,0.0,19103,2499.0,10.14,26.9,5865,30556,1801,10390,"38,08","65,53"
Bangkalan,Juni,2025,21783,4251.5,476,0.0,0.0,0.0,19103,2829.6,3.35,27.23,5865,30498,2496,14053,"67,22","115,67"
Bangkalan,Juli,2025,21783,4545.2,476,0.0,0.0,0.0,19103,3031.3,1.67,27.08,5865,30439,1912,11069,"96,66","173,11"
Bangkalan,Agustus,2025,21783,4752.1,476,0.0,0.0,0.0,19103,3118.2,1.83,27.51,5865,30380,1715,9670,"118,81","212,77"
Bangkalan,September,2025,18000,5911.3,476,38.0,0.0,0.0,16103,3952.9,2.0,27.87,9316,48163,1919,11055,"166,40","298,01"
Bangkalan,Oktober,2025,18000,9077.5,476,43.0,0.0,0.0,14811,5629.9,6.69,27.87,9316,48070,1503,8687,"106,52","190,76"
Bangkalan,November,2025,20600,14197.64,476,54.0,0.0,0.0,12611,9412.38,10.97,27.05,7591,39093,1379,7794,"35,37","60,86"
Bangkalan,Desember,2025,20600,17528.54,476,54.0,0.0,0.0,12811,12073.12,8.2,27.18,7591,39017,1306,7495,"3,52","5,95"
Banyuwangi,Januari,2023,46506,6256.5,0,0.0,0.0,0.0,29933,3379.7,6.25,26.32,4202,21934,1815,10271,"30,28","49,22"
Banyuwangi,Februari,2023,46506,10551.1,0,0.0,0.0,0.0,29933,6351.4,9.54,25.54,4202,21892,3199,18173,"31,17","50,68"
Banyuwangi,Maret,2023,46506,13882.5,0,0.0,0.0,0.0,29933,8494.0,4.85,26.25,5157,26816,2472,13867,"48,22","79,83"
Banyuwangi,April,2023,46506,17268.4,0,0.0,0.0,0.0,29933,10393.9,5.65,26.15,5157,26764,1566,9004,"82,69","136,92"
Banyuwangi,Mei,2023,46506,24359.6,0,0.0,0.0,0.0,29933,14203.8,1.93,26.19,3247,16819,1804,10100,"179,66","297,48"
Banyuwangi,Juni,2023,46506,27614.3,0,0.0,0.0,0.0,29933,16407.7,1.64,25.81,3247,16786,2238,12599,"312,76","517,87"
Banyuwangi,Juli,2023,46506,30567.0,0,0.0,0.0,0.0,29933,18204.2,04.08,24.46,3247,16754,1882,10538,"432,59","746,56"
Banyuwangi,Agustus,2023,46506,33726.4,0,0.0,0.0,0.0,29933,20308.7,1.32,23.87,3247,16722,1586,8850,"517,81","893,62"
Banyuwangi,September,2023,46506,36880.7,0,0.0,0.0,0.0,29933,22557.6,0.99,24.49,5157,26506,1832,10442,"730,17","1260,10"
Banyuwangi,Oktober,2023,46506,39961.9,0,0.0,0.0,0.0,29933,24620.2,0.74,26.28,5157,26455,1595,9122,"481,56","831,07"
Banyuwangi,November,2023,46506,43332.0,0,0.0,0.0,0.0,29933,27396.8,1.53,27.06,4202,21514,1334,7632,"164,41","272,23"
Banyuwangi,Desember,2023,46506,46145.5,0,0.0,0.0,0.0,29933,29463.6,2.35,27.28,4202,21472,1385,7797,"16,41","26,67"
Banyuwangi,Januari,2024,25948,1025.7,0,0.0,0.0,0.0,17642,356.4,3.64,27.14,4265,22305,1753,9937,"21,28","34,80"
Banyuwangi,Februari,2024,25948,4344.1,0,0.0,0.0,0.0,17642,2115.2,6.23,26.57,4265,22263,2991,17017,"22,03","36,04"
Banyuwangi,Maret,2024,25948,5963.8,0,0.0,0.0,0.0,17642,3148.5,5.95,26.83,5234,27269,2340,13572,"33,78","56,28"
Banyuwangi,April,2024,44355,6895.4,4025,0.0,0.0,0.0,37715,3717.0,5.25,26.8,5234,27216,1531,8806,"57,12","95,14"
Banyuwangi,Mei,2024,44355,9711.2,4025,0.0,0.0,0.0,37715,5492.2,02.07,26.19,3295,17101,1652,9563,"123,14","205,12"
Banyuwangi,Juni,2024,44355,12396.3,4025,0.0,0.0,0.0,37715,7264.8,1.84,25.81,3295,17068,2233,12569,"215,62","359,18"
Banyuwangi,Juli,2024,44355,15568.3,4025,0.0,0.0,0.0,37715,9487.6,2.53,24.81,3295,17035,1710,9901,"302,86","525,70"
Banyuwangi,Agustus,2024,44355,19738.5,4025,0.0,0.0,0.0,37715,13107.6,1.63,24.59,3295,17002,1485,8567,"366,15","635,55"
Banyuwangi,September,2024,44355,24154.5,4025,9.46,0.0,0.0,37715,17050.3,1.15,25.72,5234,26955,1723,9841,"513,72","891,70"
Banyuwangi,Oktober,2024,44355,28754.1,2282,68.17,0.0,0.0,37715,21325.7,1.39,26.51,5234,26902,1540,8824,"333,98","579,71"
Banyuwangi,November,2024,44355,32485.9,2282,110.71,0.0,0.0,37715,25189.0,4.12,27.4,4265,21879,1249,7144,"112,79","187,88"
Banyuwangi,Desember,2024,44355,36664.3,2282,156.17,0.0,0.0,37715,30466.8,10.19,26.75,4265,21836,1294,7300,"11,28","18,45"
Banyuwangi,Januari,2025,43825,3875.5,0,0.0,0.0,0.0,35276,3678.2,11.52,26.28,4328,22722,1819,10312,"13,85","22,24"
Banyuwangi,Februari,2025,43825,6592.8,0,0.0,0.0,0.0,35276,6449.1,3.45,27.29,4328,22678,3189,18144,"14,25","22,89"
Banyuwangi,Maret,2025,43825,8647.6,0,0.0,0.0,0.0,35276,8466.0,3.69,27.58,5311,27776,2455,14240,"21,53","35,23"
Banyuwangi,April,2025,43825,11526.4,0,0.0,0.0,0.0,35276,11360.6,2.21,27.1,5311,27723,1605,9244,"36,05","58,97"
Banyuwangi,Mei,2025,43825,15857.4,0,0.0,0.0,0.0,35276,15605.3,3.64,26.94,3344,17422,1780,10309,"77,98","127,55"
Banyuwangi,Juni,2025,43825,19532.5,0,0.0,0.0,0.0,35276,19178.0,2.38,26.29,3344,17388,2385,13453,"138,47","226,50"
Banyuwangi,Juli,2025,43825,23445.5,0,0.0,0.0,0.0,35276,23172.9,2.59,25.02,3344,17355,1830,10596,"196,71","335,54"
Banyuwangi,Agustus,2025,43825,26687.2,0,0.0,0.0,0.0,35276,26505.0,2.49,25.19,3344,17321,1636,9438,"237,41","404,97"
Banyuwangi,September,2025,43825,31074.7,0,0.0,50.0,0.0,37276,30889.1,3.86,25.65,5311,27457,1850,10562,"328,58","560,48"
Banyuwangi,Oktober,2025,43825,35807.8,0,0.0,50.0,0.41,37526,35402.4,2.22,26.66,5311,27404,1599,9162,"210,94","359,81"
Banyuwangi,November,2025,46425,40269.24,0,0.0,2.0,0.41,38526,38047.26,6.21,26.62,4328,22289,1412,8091,"71,26","116,56"
Banyuwangi,Desember,2025,46425,43385.07,0,0.0,2.39,1.81,40493,40221.25,4.12,27.1,4328,22245,1380,7783,"7,21","11,58"
Blitar,Januari,2023,31352,2214.4,0,0.0,0.0,0.0,25370,1623.3,7.64,25.01,8360,48655,3097,19447,"17,47","30,27"
Blitar,Februari,2023,31352,6077.2,0,0.0,0.0,0.0,25370,4925.4,13.03,24.86,8360,48571,5236,33304,"17,17","29,75"
Blitar,Maret,2023,31352,8866.4,0,0.0,0.0,0.0,25370,7470.4,9.81,25.1,10260,59508,4291,26735,"25,27","44,54"
Blitar,April,2023,31352,10672.5,0,0.0,0.0,0.0,25370,9089.0,6.9,25.21,10260,59405,2724,17349,"42,64","75,15"
Blitar,Mei,2023,31352,14645.3,0,0.0,0.0,0.0,25370,12262.4,3.88,24.91,6460,37338,3076,19501,"95,26","167,90"
Blitar,Juni,2023,31352,16537.2,0,0.0,0.0,0.0,25370,13552.6,1.1,25.17,6460,37274,3794,23786,"174,76","308,01"
Blitar,Juli,2023,31352,18666.9,0,0.0,0.0,0.0,25370,15047.1,1.83,24.12,6460,37209,2996,18726,"251,86","461,53"
Blitar,Agustus,2023,31352,20379.9,0,0.0,0.0,0.0,25370,16330.6,0.31,24.1,6460,37145,2704,16764,"299,60","549,02"
Blitar,September,2023,31352,22738.7,0,0.0,0.0,0.0,25370,18161.5,0.35,24.79,10260,58892,3113,19703,"403,21","738,87"
Blitar,Oktober,2023,31352,25314.3,0,0.0,0.0,0.0,25370,20416.0,01.08,26.46,10260,58789,2724,17270,"252,95","463,52"
Blitar,November,2023,31352,27777.0,0,0.0,0.0,0.0,25370,22482.8,2.83,26.65,8360,47819,2388,14851,"84,75","149,37"
Blitar,Desember,2023,31352,30163.0,0,0.0,0.0,0.0,25370,24242.2,3.27,26.36,8360,47735,2265,14289,"8,69","15,06"
Blitar,Januari,2024,20086,72.8,0,0.0,0.0,0.0,16417,54.9,9.85,25.79,8485,49467,2881,18094,"13,34","23,24"
Blitar,Februari,2024,20086,2076.0,0,0.0,0.0,0.0,16417,1444.7,11.17,25.91,8485,49382,5006,31841,"13,19","22,98"
Blitar,Maret,2024,20086,4404.6,0,0.0,0.0,0.0,16417,3435.6,7.62,26.11,10413,60499,4031,25155,"19,25","34,12"
Blitar,April,2024,34334,5518.3,0,0.0,0.0,0.0,35090,4388.1,7.4,26.02,10413,60395,2560,16332,"31,99","56,70"
Blitar,Mei,2024,34334,8432.5,0,0.0,0.0,0.0,35090,6678.4,1.41,25.82,6556,37959,2969,18851,"70,92","125,70"
Blitar,Juni,2024,34334,11829.2,0,0.0,0.0,0.0,35090,9490.9,0.88,25.78,6556,37893,3634,22824,"130,96","232,12"
Blitar,Juli,2024,34334,15470.3,0,0.0,0.0,0.0,35090,13414.3,0.78,24.89,6556,37828,3048,19082,"191,56","352,94"
Blitar,Agustus,2024,34334,18969.2,0,0.0,0.0,0.0,35090,17846.5,0.32,24.77,6556,37762,2667,16565,"230,04","423,84"
Blitar,September,2024,34334,22597.0,0,0.0,0.0,0.0,35090,22629.6,1.77,25.71,10413,59874,2991,18960,"308,26","567,97"
Blitar,Oktober,2024,34334,26212.1,0,0.0,0.0,0.0,35090,27472.1,2.67,26.19,10413,59770,2532,16077,"190,61","351,19"
Blitar,November,2024,34334,29446.5,0,0.0,0.0,0.0,35090,31572.8,14.39,25.57,8485,48619,2284,14204,"63,13","111,89"
Blitar,Desember,2024,34334,32467.6,0,0.0,0.0,0.0,35090,34407.4,15.54,25.38,8485,48534,2162,13661,"6,49","11,31"
Blitar,Januari,2025,32033,1577.9,1,0.0,0.0,0.0,32444,1347.0,14.22,25.13,8610,50368,3147,19793,"9,44","16,17"
Blitar,Februari,2025,32033,0.0,0,0.0,0.0,0.0,0,4234.6,8.65,25.53,8610,50282,5288,33684,"9,28","15,90"
Blitar,Maret,2025,32033,6201.1,0,0.0,0.0,0.0,32444,6259.8,11.99,25.55,10567,61605,4332,27809,"13,35","23,26"
Blitar,April,2025,32033,8064.4,513,0.0,0.0,0.0,32596,8338.8,5.4,25.46,10567,61499,2665,17001,"21,95","38,25"
Blitar,Mei,2025,32033,11641.0,513,9.35,0.0,0.0,32596,11570.0,10.85,25.22,6653,38653,3176,20167,"48,85","85,12"
Blitar,Juni,2025,32033,14951.5,513,37.59,0.0,0.0,32596,15050.3,2.89,25.08,6653,38587,3859,24232,"91,51","159,45"
Blitar,Juli,2025,37051,17963.7,513,72.15,0.0,0.0,34596,18439.2,1.48,24.1,6653,38520,3237,20264,"135,28","245,20"
Blitar,Agustus,2025,37051,20543.5,513,125.12,0.0,0.0,34596,21884.0,2.88,24.59,6653,38454,2669,17056,"162,21","294,01"
Blitar,September,2025,37051,23834.0,513,189.51,6142.0,0.0,34996,25990.6,3.72,24.95,10567,60971,3185,20193,"214,57","388,91"
Blitar,Oktober,2025,37051,27025.0,513,237.31,6142.0,33.7,35196,29916.3,8.74,25.31,10567,60865,2769,17580,"130,94","237,32"
Blitar,November,2025,36050,30559.31,513,277.86,883.0,298.77,36996,33757.46,15.42,25.05,8610,49507,2412,15028,"43,36","75,56"
Blitar,Desember,2025,36050,33185.79,513,323.2,883.28,824.34,37947,37503.44,6.73,25.57,8610,49421,2287,14452,"4,52","7,74"
Bojonegoro,Januari,2023,62360,2854.2,0,0.0,0.0,0.0,33591,1542.0,7.42,26.04,6578,37494,3335,21011,"23,33","37,11"
Bojonegoro,Februari,2023,62360,10039.6,0,0.0,0.0,0.0,33591,5677.8,12.79,25.71,6578,37428,5875,37483,"23,23","36,94"
Bojonegoro,Maret,2023,62360,19238.0,0,0.0,0.0,0.0,33591,10631.2,11.87,26.12,8073,45854,4477,28426,"35,17","57,00"
Bojonegoro,April,2023,62360,23479.4,0,0.0,0.0,0.0,33591,13079.8,08.07,26.53,8073,45773,2924,18449,"60,72","98,40"
Bojonegoro,Mei,2023,62360,27618.0,0,0.0,0.0,0.0,33591,15403.8,3.36,26.99,5083,28769,3344,21035,"135,60","219,75"
Bojonegoro,Juni,2023,62360,30712.1,0,0.0,0.0,0.0,33591,16982.6,0.82,27.99,5083,28718,4105,26106,"243,13","394,00"
Bojonegoro,Juli,2023,62360,34104.8,0,0.0,0.0,0.0,33591,18823.6,0.64,27.19,5083,28668,3243,20558,"339,27","573,55"
Bojonegoro,Agustus,2023,62360,36851.7,0,0.0,0.0,0.0,33591,20198.1,0.1,27.62,5083,28617,2907,18113,"398,27","673,29"
Bojonegoro,September,2023,62360,40387.4,0,0.0,0.0,0.0,33591,22003.2,0.17,28.43,8073,45370,3327,20626,"543,17","918,25"
Bojonegoro,Oktober,2023,62360,47449.3,0,0.0,0.0,0.0,33591,25361.4,0.5,29.98,8073,45289,3014,18659,"351,01","593,40"
Bojonegoro,November,2023,62360,55526.7,0,0.0,0.0,0.0,33591,29694.4,4.87,29.07,6578,36836,2524,15748,"120,75","195,68"
Bojonegoro,Desember,2023,62360,61389.5,0,0.0,0.0,0.0,33591,32912.7,6.61,27.92,6578,36771,2536,16078,"12,39","19,71"
Bojonegoro,Januari,2024,35284,202.0,0,0.0,0.0,0.0,21500,127.9,11.16,26.74,6676,38119,3092,19513,"16,41","26,26"
Bojonegoro,Februari,2024,35284,2426.9,0,0.0,0.0,0.0,21500,1381.1,14.04,26.71,6676,38053,5600,35782,"16,44","26,31"
Bojonegoro,Maret,2024,35284,6652.6,0,0.0,0.0,0.0,21500,3854.7,9.17,26.96,8194,46623,4463,28340,"24,67","40,23"
Bojonegoro,April,2024,60300,11332.3,14441,0.0,0.0,0.0,45946,6744.4,9.12,27.12,8194,46541,2746,17328,"41,97","68,43"
Bojonegoro,Mei,2024,60300,17926.4,14441,0.0,0.0,0.0,45946,10784.3,1.43,27.84,5159,29251,3227,20299,"93,02","151,68"
Bojonegoro,Juni,2024,60300,21960.5,14441,0.0,0.0,0.0,45946,13523.0,1.71,27.35,5159,29199,3932,25006,"167,82","273,63"
Bojonegoro,Juli,2024,60300,26220.8,14441,0.0,0.0,0.0,45946,16718.3,0.43,27.45,5159,29148,3106,19690,"237,70","404,22"
Bojonegoro,Agustus,2024,60300,29820.7,14441,0.0,0.0,0.0,45946,19932.4,0.2,27.95,5159,29096,2867,17861,"281,81","479,22"
Bojonegoro,September,2024,60300,34409.3,14441,350.1,0.0,0.0,45946,24032.5,2.14,28.68,8194,46132,3196,19815,"382,58","650,59"
Bojonegoro,Oktober,2024,62239,40950.7,16141,1259.93,0.0,0.0,46674,29940.9,2.28,29.22,8194,46050,2722,17338,"243,63","414,31"
Bojonegoro,November,2024,62239,49786.0,16141,3513.75,0.0,0.0,46674,37432.8,12.24,27.42,6676,37452,2405,15032,"82,88","135,13"
Bojonegoro,Desember,2024,62239,60178.0,16141,6102.96,0.0,0.0,46674,45526.5,17.24,26.37,6676,37385,2421,15349,"8,53","13,65"
Bojonegoro,Januari,2025,55893,1012.9,18083,182.21,0.0,0.0,42141,771.8,13.44,26.0,6775,38820,3391,21397,"11,05","17,36"
Bojonegoro,Februari,2025,55893,0.0,0,0.0,0.0,0.0,42141,3273.5,11.95,26.06,6775,38753,5940,37958,"11,01","17,29"
Bojonegoro,Maret,2025,55893,9869.8,0,0.0,0.0,0.0,42141,7539.6,12.95,26.4,8315,47478,4653,29591,"16,27","26,05"
Bojonegoro,April,2025,55893,16124.0,18083,4264.33,0.0,0.0,42276,12331.6,6.34,26.62,8315,47395,3038,19201,"27,40","43,86"
Bojonegoro,Mei,2025,55893,22201.6,18083,5902.55,0.0,0.0,42276,16917.7,12.25,26.4,5235,29787,3460,21765,"60,96","97,57"
Bojonegoro,Juni,2025,55893,25661.5,18083,6703.74,0.0,0.0,42276,19576.8,2.71,26.18,5235,29734,4178,26611,"111,52","178,49"
Bojonegoro,Juli,2025,61441,30959.2,22083,7957.41,0.0,0.0,46789,23844.6,01.08,25.94,5235,29682,3305,20952,"159,68","266,75"
Bojonegoro,Agustus,2025,61441,34139.5,22083,8747.14,0.0,0.0,46789,26436.1,1.54,26.22,5235,29630,2955,18438,"189,05","315,81"
Bojonegoro,September,2025,61441,38795.9,22083,10423.38,1.0,0.0,47189,30184.4,02.05,27.06,8315,46979,3310,21152,"253,22","423,02"
Bojonegoro,Oktober,2025,61441,44690.0,22083,12450.66,1.0,0.0,47189,34920.5,6.67,27.49,8315,46896,2984,19005,"159,16","265,89"
Bojonegoro,November,2025,62662,53527.43,22083,15704.15,0.0,0.0,47289,41886.08,12.2,26.47,6775,38143,2551,15942,"54,16","86,69"
Bojonegoro,Desember,2025,63562,62408.0,22139,18671.88,0.0,0.0,48439,48150.62,8.48,26.55,6775,38075,2564,16282,"5,64","8,86"
Bondowoso,Januari,2023,31779,3494.8,0,0.0,0.0,0.0,17355,1346.8,7.74,24.56,4400,23496,1910,11309,"0,87","1,37"
Bondowoso,Februari,2023,31779,5867.6,0,0.0,0.0,0.0,17355,2774.4,19.31,24.16,4400,23452,3393,20255,"0,90","1,43"
Bondowoso,Maret,2023,31779,8037.8,0,0.0,0.0,0.0,17355,4134.2,6.1,24.63,5400,28728,2703,16324,"1,39","2,25"
Bondowoso,April,2023,31779,10306.9,0,0.0,0.0,0.0,17355,5386.3,4.55,24.88,5400,28673,1664,9982,"2,37","3,82"
Bondowoso,Mei,2023,31779,14175.4,0,0.0,0.0,0.0,17355,7470.8,0.7,25.18,3400,18020,1901,11216,"5,08","8,19"
Bondowoso,Juni,2023,31779,16322.0,0,0.0,0.0,0.0,17355,8762.7,0.52,25.73,3400,17986,2391,14225,"8,80","14,18"
Bondowoso,Juli,2023,31779,18204.8,0,0.0,0.0,0.0,17355,9770.0,0.45,24.47,3400,17952,2009,11892,"12,23","20,57"
Bondowoso,Agustus,2023,31779,19919.6,0,0.0,0.0,0.0,17355,10796.4,0.05,25.15,3400,17918,1719,10349,"14,84","24,96"
Bondowoso,September,2023,31779,22334.2,0,0.0,0.0,0.0,17355,12262.8,0.04,25.76,5400,28404,1943,11716,"21,12","35,53"
Bondowoso,Oktober,2023,31779,24729.1,0,0.0,0.0,0.0,17355,13585.2,0.28,27.8,5400,28350,1680,10046,"13,91","23,40"
Bondowoso,November,2023,31779,27388.5,0,0.0,0.0,0.0,17355,15231.1,2.15,27.2,4400,23056,1415,8506,"4,71","7,59"
Bondowoso,Desember,2023,31779,29074.4,0,0.0,0.0,0.0,17355,16444.7,4.13,26.2,4400,23012,1468,8689,"0,46","0,73"
Bondowoso,Januari,2024,19654,1675.7,0,0.0,0.0,0.0,11028,779.2,5.19,26.01,4466,23893,1825,11130,"0,61","0,97"
Bondowoso,Februari,2024,19654,3731.2,0,0.0,0.0,0.0,11028,1767.4,9.44,25.58,4466,23848,3225,19287,"0,63","1,01"
Bondowoso,Maret,2024,19654,5127.6,0,0.0,0.0,0.0,11028,2504.1,7.85,25.6,5480,29208,2529,15302,"0,97","1,58"
Bondowoso,April,2024,33591,7053.0,0,0.0,0.0,0.0,23568,3517.0,2.57,26.04,5480,29153,1655,9931,"1,63","2,64"
Bondowoso,Mei,2024,33591,10285.1,0,0.0,0.0,0.0,23568,5411.4,0.36,26.82,3450,18319,1773,10797,"3,46","5,62"
Bondowoso,Juni,2024,33591,13419.2,0,0.0,0.0,0.0,23568,8229.8,01.05,26.01,3450,18285,2284,13592,"6,03","9,78"
Bondowoso,Juli,2024,33591,16542.0,0,0.0,0.0,0.0,23568,11312.4,0.43,25.13,3450,18250,1917,11366,"8,51","14,40"
Bondowoso,Agustus,2024,33591,19290.1,0,0.0,0.0,0.0,23568,14125.9,0.25,25.4,3450,18216,1591,9593,"10,43","17,65"
Bondowoso,September,2024,33591,21494.2,0,0.0,0.0,0.0,23568,16507.5,1.97,26.41,5480,28879,1862,11228,"14,77","24,99"
Bondowoso,Oktober,2024,34500,24424.7,0,0.0,0.0,0.0,23568,19574.0,01.06,27.44,5480,28824,1650,9885,"9,59","16,23"
Bondowoso,November,2024,34500,27565.3,0,0.0,0.0,0.0,23568,21917.8,5.96,26.22,4466,23446,1345,8098,"3,21","5,21"
Bondowoso,Desember,2024,33950,31433.7,0,0.0,0.0,0.0,23578,23340.5,14.58,24.92,4466,23401,1395,8274,"0,32","0,50"
Bondowoso,Januari,2025,32309,2025.1,181,0.13,0.0,0.0,22021,1443.1,8.79,24.72,4532,24336,1997,12203,"0,40","0,63"
Bondowoso,Februari,2025,32309,0.0,0,0.0,0.0,0.0,22021,2747.9,5.37,25.0,4532,24291,3423,20469,"0,42","0,65"
Bondowoso,Maret,2025,32309,5506.1,0,0.0,0.0,0.0,22021,4047.7,6.18,25.15,5562,29756,2641,15976,"0,63","1,00"
Bondowoso,April,2025,32309,7395.6,181,38.05,0.0,0.0,22021,5511.9,2.42,25.04,5562,29701,1726,10374,"1,04","1,66"
Bondowoso,Mei,2025,32309,10088.1,181,59.38,0.0,0.0,22021,7451.6,5.17,24.96,3502,18665,1903,11587,"2,23","3,55"
Bondowoso,Juni,2025,32309,12734.4,181,70.34,0.0,0.0,22021,9261.4,1.61,25.0,3502,18630,2428,14472,"3,93","6,26"
Bondowoso,Juli,2025,32809,16260.2,572,77.47,0.0,0.0,23170,11298.4,0.28,24.54,3502,18595,2041,12104,"5,62","9,34"
Bondowoso,Agustus,2025,32809,19061.6,572,98.53,0.0,0.0,23170,12928.8,0.6,25.04,3502,18560,1745,10522,"6,87","11,42"
Bondowoso,September,2025,32809,21942.2,572,111.58,1300.0,3.33,23570,14865.5,0.91,25.66,5562,29422,1989,11993,"9,60","15,95"
Bondowoso,Oktober,2025,32809,24905.9,572,129.82,1300.0,18.31,22370,17200.7,1.55,25.97,5562,29367,1705,10210,"6,15","10,23"
Bondowoso,November,2025,33439,28732.96,572,147.03,131.0,41.9,21370,20242.62,4.55,25.48,4532,23883,1516,9127,"2,06","3,28"
Bondowoso,Desember,2025,33439,32098.47,572,163.78,131.0,78.6,22497,22309.49,4.41,25.42,4532,23838,1481,8780,"0,21","0,32"
Gresik,Januari,2023,26083,489.4,0,0.0,0.0,0.0,13378,216.4,8.5,26.44,7172,36577,1074,6232,"1,25","2,12"
Gresik,Februari,2023,26083,3436.8,0,0.0,0.0,0.0,13378,1638.4,13.26,26.08,7172,36505,1940,11076,"1,30","2,20"
Gresik,Maret,2023,26083,6944.0,0,0.0,0.0,0.0,13378,3502.1,10.11,26.56,8802,44714,1513,8731,"2,01","3,46"
Gresik,April,2023,26083,8461.8,0,0.0,0.0,0.0,13378,4236.1,6.15,27.03,8802,44626,989,5666,"3,43","5,91"
Gresik,Mei,2023,26083,11052.1,0,0.0,0.0,0.0,13378,5663.6,1.85,27.75,5542,28042,1122,6473,"7,42","12,79"
